Domain,Phylum,Class,Order,Family,Genus,Species,Pond06,pond07,pond09,pond10,pond13,pond14,pond16,pond17,pond18
Eukaryota,Oomycota,Leptomitales,Leptomitales,Apodachlya,Apodachlya,Medakamo hakoo,0.002765181,0.011764014,0,0,0,49.5049505,0.287329377,87.12412467,0.018034659
Eukaryota,Rotifera,Eurotatoria,Ploima,Brachionidae,Brachionus,Eucyclops serrulatus,0.005530362,0.020587024,0.057526366,0.001520889,51.30508178,0.412541254,20.39100907,0.353563092,18.41830573
Eukaryota,Arthropoda,Insecta,Diptera,Chironomidae,Chironomus,Eudiaptomus gracilis,50.37191682,15.77848362,0.019175455,0.003041779,0.004777603,0.99009901,0.349617564,2.931484278,0.002732524
Eukaryota,Arthropoda,Insecta,Diptera,Chironomidae,Chironomus,Mesocyclops leuckarti,10.85748258,25.34556791,4.26653883,1.949019787,0.439539439,10.2310231,0,0.054922422,0.037708833
Eukaryota,Arthropoda,Insecta,Diptera,Chironomidae,Cricotopus,Mychonastes jurisii,20.38353058,1.373448621,5.944391179,0.073002692,0.006370137,12.70627063,0.001339531,2.272415214,0.105475432
Eukaryota,Arthropoda,Insecta,Diptera,Chironomidae,Cricotopus,Cricotopus arcuatus,0.009678133,0.017646021,0.067114094,0.047908017,0.004777603,0.082508251,0.001339531,0.061787725,33.18759871
Eukaryota,Arthropoda,Insecta,Diptera,Chironomidae,Procladius,Chironomus nipponensis,0.00138259,2.391035821,1.179290508,0.027376009,0.654531556,0.247524752,27.50190883,0.010297954,0.000546505
Eukaryota,Haptophyta,Prymnesiales,Prymnesiales,Chrysochromulinaceae,Chrysochromulina,Cricotopus glacialis,0.008295543,0.023528028,0.047938639,0.305698773,0.009555205,0.742574257,0.002679062,0.041191817,29.76319946
Eukaryota,Arthropoda,Branchiopoda,Diplostraca,Chydoridae,Chydorus,Pythium pachycaule,0.233657781,0.023528028,1.351869607,19.1046524,0.074849107,0.165016502,0.429989418,0.127008101,1.947196703
Eukaryota,Arthropoda,Branchiopoda,Diplostraca,Chydoridae,Chydorus,Pythium brachiatum,0.167293441,0.102935121,2.358581016,16.04234156,1.683308649,1.650165017,0.776258154,0.120142798,0.531202693
Eukaryota,Chlorophyta,Trebouxiophyceae,Coccomyxaceae,Coccomyxaceae,Medakamo,Pythium coloratum,0.248866276,0.00882301,0.594439118,16.5617253,0.058923765,0.742574257,0.754155895,0.205959083,0.66892191
Eukaryota,Arthropoda,Malacostraca,Amphipoda,Crangonyctidae,Crangonyx,Chironomus muratensis,0,0,17.80441035,0.058554243,0,0,0,0,0.000546505
Eukaryota,Arthropoda,Hexanauplia,Cyclopoida,Cyclopidae,Acanthocyclops,Cyclotella glomerata,1.075655348,0.002941003,15.34995206,0.017490228,0.82652525,0.247524752,0.012725544,0.051489771,0.019127669
Eukaryota,Arthropoda,Hexanauplia,Cyclopoida,Cyclopidae,Acanthocyclops,Phytophthora himalsilva,0,15.94612082,0,0.002281334,0.001592534,0,0.001339531,0.037759165,0.00109301
Eukaryota,Arthropoda,Hexanauplia,Cyclopoida,Cyclopidae,Eucyclops,Daphnia mendotae,0,0,15.32118888,0.075284026,0,0.412541254,0.135292621,0.006865303,0
Eukaryota,Arthropoda,Hexanauplia,Cyclopoida,Cyclopidae,Mesocyclops,Procladius culiciformis,0.00138259,0.002941003,0.019175455,0.000760445,0.001592534,0.165016502,14.27404123,0.003432651,0.00109301
Eukaryota,Arthropoda,Hexanauplia,Cyclopoida,Cyclopidae,Thermocyclops,Acanthocyclops robustus,8.086771375,2.72042821,0.009587728,0.110264483,3.04492539,0.082508251,0.265896883,0.054922422,0.045359901
Eukaryota,Arthropoda,Hexanauplia,Calanoida,Diaptomidae,Eudiaptomus,Plumatella casmiana,0,0,13.53787152,0,0,0,0,0,0
Eukaryota,Arthropoda,Insecta,Hymenoptera,Formicidae,Lasius,Unio pictorum,0,0.00882301,0,0.97717145,0,0.165016502,11.79456954,0.017163257,0.00109301
Eukaryota,Chlorophyta,Trebouxiophyceae,Prasiolales,Koliellaceae,Koliella,Chironomus luridus,0,0.005882007,0,0.09049292,9.185737264,0.247524752,1.101094397,0.538926267,1.158590236
Eukaryota,Oomycota,Lagenaceae,Lagenaceae,Lagenaceae,Lagena,Aphanomyces astaci,0.00138259,7.802482207,0.402684564,0.047908017,0.004777603,0.082508251,0.578007582,0.442812028,0.012569611
Eukaryota,Oomycota,Lagenidiales,Lagenidiales,Lagenidiaceae,Lagenidium,Pythium apleroticum,0.082955425,0.002941003,0.12464046,7.126887804,0.240472664,0.330033003,0.062957952,0.041191817,0.438843377
Eukaryota,Oomycota,Lagenidiales,Lagenidiales,Lagenidiaceae,Lagenidium,Pythium subutonaiense,0.011060723,0.00882301,0.067114094,7.740566683,0.041405889,0.165016502,0.004018593,0.109844844,0.082522229
Eukaryota,Oomycota,Lagenidiales,Lagenidiales,Lagenidiaceae,Lagenidium,Lagenidium caudatum,0.073277292,0.108817128,3.09683605,3.830359995,0.410873824,0.082508251,0.098455521,0.02402856,0.159032905
Eukaryota,Porifera,Demospongiae,Spongillida,Lubomirskiidae,Baikalospongia,Ephydatia cooperensis,0.268222542,7.267219575,0,0,0,0.082508251,0,0.085816284,0
Eukaryota,Bacillariophyta,Coscinodiscophyceae,Melosirales,Melosiraceae,Melosira,Simocephalus vetulus,0,0,0,0,7.554982243,0.082508251,0,0.003432651,0
Eukaryota,Eustigmatophyceae,Eustigmatophyceae,Eustigmatales,Monodopsidaceae,Nannochloropsis,Cyclops strenuus,0,0,0.009587728,0,6.788973293,0.082508251,0,0.133873404,0.006558058
Eukaryota,Chlorophyta,Chlorophyceae,Sphaeropleales,Mychonastaceae,Mychonastes,Cyclops vicinus,0,5.293806247,0,0.000760445,0.332839648,0.330033003,0.059609125,0.511465056,0
Eukaryota,Oomycota,Myzocytiopsidales,Myzocytiopsidales,Myzocytiopsidaceae,Myzocytiopsis,Potamopyrgus antipodarum,0,0.00882301,0.009587728,0.050949795,0,0.082508251,6.179256025,0.003432651,0
Eukaryota,Oomycota,Peronosporales,Peronosporales,Peronosporaceae,Phytophthora,Brachionus dorcas,2.481749806,0.002941003,2.847555129,0,0,0,0.076353261,0,0.053557473
Eukaryota,Oomycota,Peronosporales,Peronosporales,Peronosporaceae,Phytophthora,Elongisporangium verrucosum,0,0.005882007,0,3.498806102,1.019221888,0.082508251,0.043534754,0.072085679,0.438843377
Eukaryota,Oomycota,Peronosporales,Peronosporales,Peronosporaceae,Phytophthora,Nitzschia palea,0,0,0,0,0,4.95049505,0,0,0
Eukaryota,Oomycota,Peronosporales,Peronosporales,Peronosporaceae,Phytophthora,Polyarthra euryptera,0,0,0,0,0,4.867986799,0,0,0
Eukaryota,Oomycota,Peronosporales,Peronosporales,Peronosporaceae,Phytophthora,Asterionella formosa,0,0.002941003,0,0,1.387097288,3.135313531,0,0.336399835,0.000546505
Eukaryota,Oomycota,Peronosporales,Peronosporales,Peronosporaceae,Phytophthora,Aphanomyces laevis,0,0.002941003,0.028763183,1.465376952,0.420429029,0.247524752,1.709241424,0.037759165,0.688049579
Eukaryota,Bacillariophyta,Bacillariophyceae,Naviculales,Pinnulariaceae,Pinnularia,Chironomus fujitertius,0,0.047056056,2.703739214,0.042584904,0.879078878,0,0.30608281,0,0
Eukaryota,Bacillariophyta,Bacillariophyceae,Naviculales,Pinnulariaceae,Pinnularia,Endochironomus stackelbergi,0,0,0,0,3.559313936,0.082508251,0,0.003432651,0.000546505
Eukaryota,Bacillariophyta,Bacillariophyceae,Naviculales,Pinnulariaceae,Pinnularia,Chironomus pseudothummi,0.002765181,0.002941003,0,1.448647169,0,0,0.000669765,0,1.985452041
Eukaryota,Oomycota,Pythiales,Pythiales,Pythiaceae,Elongisporangium,Pythium sterilum,0.002765181,1.235221458,0.009587728,0.705692689,0.009555205,0.495049505,0.15002746,0.284910065,0.325716878
Eukaryota,Oomycota,Pythiales,Pythiales,Pythiaceae,Globisporangium,Pythium angustatum,0,0,2.607861937,0.118629374,0.036628287,0,0.006697654,0,0.019674174
Eukaryota,Oomycota,Pythiales,Pythiales,Pythiaceae,Globisporangium,Nanocladius dichromus,0,0,0,0.000760445,0,0.082508251,0.000669765,0,2.647269389
Eukaryota,Oomycota,Pythiales,Pythiales,Pythiaceae,Globisporangium,Chaetogaster fluminis,0,0,0,0.005323113,0.138550475,0,2.464736849,0,0.03060427
Eukaryota,Oomycota,Pythiales,Pythiales,Pythiaceae,Globisporangium,Phytopythium montanum,0.00138259,0.002941003,0,1.878298429,0.130587804,0,0.110511299,0.102979541,0.410425126
Eukaryota,Oomycota,Pythiales,Pythiales,Pythiaceae,Globisporangium,Apoikiospumella mondseeiensis,0,0,2.51198466,0,0.084404313,0,0,0,0.039348348
Eukaryota,Oomycota,Pythiales,Pythiales,Pythiaceae,Globisporangium,Phytophthora gonapodyides,0.092633558,0,0,0.814436282,0.108292326,0.660066007,0.040185927,0.435946725,0.449773474
Eukaryota,Oomycota,Pythiales,Pythiales,Pythiaceae,Globisporangium,Phytophthora angustata,0,2.42338686,0,0,0,0.082508251,0.000669765,0.017163257,0
Eukaryota,Oomycota,Pythiales,Pythiales,Pythiaceae,Globisporangium,Pythium aphanidermatum,0.03179958,1.558731839,0.047938639,0.158172499,0.006370137,0.165016502,0.215664474,0.068653028,0.033883299
Eukaryota,Oomycota,Pythiales,Pythiales,Pythiaceae,Globisporangium,Lasius brunneus,0.00138259,0.002941003,0,0,0,0,2.272514166,0.003432651,0.000546505
Eukaryota,Oomycota,Pythiales,Pythiales,Pythiaceae,Globisporangium,Ephydatia fluviatilis,0.160380489,1.914593259,0,0.000760445,0,0.082508251,0.000669765,0.048057119,0
Eukaryota,Oomycota,Pythiales,Pythiales,Pythiaceae,Globisporangium,Pinnularia neomajor,1.708881761,0,0,0.000760445,0.052553629,0.082508251,0.050902174,0,0.266694356
Eukaryota,Oomycota,Pythiales,Pythiales,Pythiaceae,Globisporangium,Acanthocyclops trajani,0,0,0,0.057033353,0,0.825082508,0.170120424,0.700260882,0.250299211
Eukaryota,Oomycota,Pythiales,Pythiales,Pythiaceae,Globisporangium,Chironomus curabilis,0,0,0,1.695031254,0,0.082508251,0,0,0
Eukaryota,Oomycota,Pythiales,Pythiales,Pythiaceae,Globisporangium,Pythium diclinum,0.048390665,0,0,1.312527566,0,0.082508251,0.14132051,0.068653028,0.038801843
Eukaryota,Oomycota,Pythiales,Pythiales,Pythiaceae,Globisporangium,Crangonyx floridanus,0.00138259,0.002941003,0,0.04030357,0,0,1.457409615,0,0.11094048
Eukaryota,Oomycota,Pythiales,Pythiales,Pythiaceae,Globisporangium,Aphanomyces piscicida,0,0.232339274,1.016299137,0.206840961,0.011147739,0,0.052241705,0.020595908,0.051371454
Eukaryota,Oomycota,Pythiales,Pythiales,Pythiaceae,Globisporangium,Pythium volutum,0,0,1.447746884,0,0,0.082508251,0.034827803,0,0
Eukaryota,Oomycota,Pythiales,Pythiales,Pythiaceae,Globisporangium,Chydorus brevilabris,0.875179737,0,0.009587728,0,0.632236077,0,0,0,0
Eukaryota,Oomycota,Pythiales,Pythiales,Pythiaceae,Globisporangium,Drepanosiphum oregonense,0,0.111758132,1.323106424,0,0,0,0.013395309,0.003432651,0.010930097
Eukaryota,Oomycota,Pythiales,Pythiales,Pythiaceae,Globisporangium,Pythium flevoense,0.009678133,0.038233045,0.498561841,0.677556235,0.057331231,0,0.021432494,0.003432651,0.027871746
Eukaryota,Oomycota,Pythiales,Pythiales,Pythiaceae,Globisporangium,Nanocladius distinctus,0,0,0,0,0,0,0,0,1.328553238
Eukaryota,Oomycota,Pythiales,Pythiales,Pythiaceae,Globisporangium,Chironomus bonus,0,0.002941003,0,0,0,0.495049505,0.000669765,0.102979541,0.719200354
Eukaryota,Oomycota,Pythiales,Pythiales,Pythiaceae,Globisporangium,Rotaria magnacalcarata,0,0,0,0,1.269249757,0,0,0,0
Eukaryota,Oomycota,Pythiales,Pythiales,Pythiaceae,Globisporangium,Phytophthora uniformis,0.00138259,0.005882007,0,1.212909309,0.022295479,0,0,0.003432651,0.001639514
Eukaryota,Oomycota,Pythiales,Pythiales,Pythiaceae,Phytopythium,Phytopythium delawarense,0,0.326451385,0,0.342200119,0.202251843,0,0.10448341,0,0.185811642
Eukaryota,Oomycota,Pythiales,Pythiales,Pythiaceae,Phytopythium,Pythium oopapillum,0.011060723,0,0.019175455,0.373378352,0.022295479,0.165016502,0.11921825,0.394754909,0.025685727
Eukaryota,Oomycota,Pythiales,Pythiales,Pythiaceae,Phytopythium,Limnephilus helveticus,0,1.126404329,0,0,0,0,0,0,0
Eukaryota,Oomycota,Pythiales,Pythiales,Pythiaceae,Phytopythium,Pinnularia australogibba,0,1.041115229,0,0,0,0,0,0,0
Eukaryota,Oomycota,Pythiales,Pythiales,Pythiaceae,Phytopythium,Elongisporangium helicandrum,0,0,0.009587728,0.66538912,0.214992117,0,0.016744136,0.003432651,0.088533782
Eukaryota,Oomycota,Pythiales,Pythiales,Pythiaceae,Phytopythium,Acanthocyclops americanus,0.464550382,0.138227163,0,0.007604447,0.248435335,0,0.048892878,0.010297954,0.002186019
Eukaryota,Oomycota,Pythiales,Pythiales,Pythiaceae,Pythium,Vannella simplex,0,0,0.651965484,0.052470685,0.035035752,0.082508251,0.069655607,0,0.007651068
Eukaryota,Oomycota,Pythiales,Pythiales,Pythiaceae,Pythium,Myzocytiopsis humana,0.593131291,0.197047233,0,0.025094675,0.003185068,0,0.002009296,0,0.016395145
Eukaryota,Oomycota,Pythiales,Pythiales,Pythiaceae,Pythium,Thermocyclops crassus,0.06498175,0.373507441,0.047938639,0.055512464,0.011147739,0.247524752,0,0,0.002732524
Eukaryota,Oomycota,Pythiales,Pythiales,Pythiaceae,Pythium,Globisporangium mamillatum,0,0.523498618,0.191754554,0.006844002,0.007962671,0,0.0368371,0.010297954,0.007651068
Eukaryota,Oomycota,Pythiales,Pythiales,Pythiaceae,Pythium,Limnodrilus hoffmeisteri,0,0,0,0.000760445,0,0.082508251,0.683160757,0,0
Eukaryota,Oomycota,Pythiales,Pythiales,Pythiaceae,Pythium,Pythium amaminum,0.023504037,0.214693253,0,0.212924518,0.152883283,0.082508251,0.012725544,0.02402856,0.040987862
Eukaryota,Oomycota,Pythiales,Pythiales,Pythiaceae,Pythium,Globisporangium pengfuense,0.005530362,0.314687371,0.019175455,0.146005384,0.207029446,0,0.012725544,0.006865303,0.025685727
Eukaryota,Oomycota,Pythiales,Pythiales,Pythiaceae,Pythium,Globisporangium cylindrosporum,0,0.714663843,0,0.007604447,0,0,0,0.006865303,0.003279029
Eukaryota,Oomycota,Pythiales,Pythiales,Pythiaceae,Pythium,Parachironomus arcuatus,0,0,0,0.479840611,0,0,0.064297483,0.006865303,0.078696695
Eukaryota,Oomycota,Pythiales,Pythiales,Pythiaceae,Pythium,Chaetogaster langi,0,0,0.009587728,0.000760445,0,0,0.611495854,0,0
Eukaryota,Oomycota,Pythiales,Pythiales,Pythiaceae,Pythium,Simocephalus beianensis,0,0,0,0,0.608348064,0,0,0,0
Eukaryota,Oomycota,Pythiales,Pythiales,Pythiaceae,Pythium,Pythium sukuiense,0.019356266,0,0.038350911,0.453225046,0.039813355,0,0.008037185,0.003432651,0.03060427
Eukaryota,Oomycota,Pythiales,Pythiales,Pythiaceae,Pythium,Homo sapiens,0,0.132345156,0,0.003041779,0.433169302,0,0,0.020595908,0
Eukaryota,Oomycota,Pythiales,Pythiales,Pythiaceae,Pythium,Melosira ambiqua,0.004147771,0,0.556088207,0,0,0,0.028130149,0,0.000546505
Eukaryota,Oomycota,Pythiales,Pythiales,Pythiaceae,Pythium,Pythium chondricola,0.008295543,0.002941003,0.230105465,0.067679579,0.007962671,0,0.260538759,0,0.004918543
Eukaryota,Oomycota,Pythiales,Pythiales,Pythiaceae,Pythium,Bufo bufo,0,0,0,0,0,0.577557756,0,0,0
Eukaryota,Oomycota,Pythiales,Pythiales,Pythiaceae,Pythium,Stephanodiscus binderanus,0,0,0,0,0.492093068,0.082508251,0,0,0
Eukaryota,Oomycota,Pythiales,Pythiales,Pythiaceae,Pythium,Globisporangium kunmingense,0.005530362,0.261749309,0.047938639,0.07756536,0.133772873,0,0.013395309,0.013730606,0.007104563
Eukaryota,Oomycota,Pythiales,Pythiales,Pythiaceae,Pythium,Phytophthora quercetorum,0,0.476442562,0,0.003802224,0,0,0.003348827,0.013730606,0.002732524
Eukaryota,Oomycota,Pythiales,Pythiales,Pythiaceae,Pythium,Paratanytarsus tenellulus,0,0,0,0,0.474575192,0,0,0,0.020767183
Eukaryota,Oomycota,Pythiales,Pythiales,Pythiaceae,Pythium,Pythiogeton ramosum,0.024886628,0.302923357,0,0.003802224,0.007962671,0,0.018083667,0,0.122963586
Eukaryota,Oomycota,Pythiales,Pythiales,Pythiaceae,Pythium,Phytophthora tyrrhenica,0,0,0,0.431932594,0.004777603,0,0,0.003432651,0
Eukaryota,Oomycota,Pythiales,Pythiales,Pythiaceae,Pythium,Phytopythium citrinum,0,0.088230104,0,0.087451141,0.092366984,0,0.097785755,0.030893862,0.043173881
Eukaryota,Oomycota,Pythiales,Pythiales,Pythiogetonaceae,Pythiogeton,Nannochloropsis limnetica,0.291726579,0,0,0.039543125,0,0,0,0.068653028,0.026232232
Eukaryota,Arthropoda,Insecta,Hemiptera,Reduviidae,Sycanus,Phytophthora alni,0,0,0,0.399233472,0.009555205,0,0,0,0.005465048
Eukaryota,Oomycota,Saprolegniales,Saprolegniales,Saprolegniaceae,Aphanomyces,Pompholyx sulcata,0,0,0,0,0,0.412541254,0,0,0
Eukaryota,Oomycota,Saprolegniales,Saprolegniales,Saprolegniaceae,Brevilegnia,Pythium cedri,0.005530362,0.032351038,0.019175455,0.187829843,0.081219244,0,0.008037185,0.017163257,0.031150775
Eukaryota,Oomycota,Saprolegniales,Saprolegniales,Saprolegniaceae,Brevilegnia,Stephanodiscus meyeri,0,0,0,0,0.184733967,0,0.192222684,0,0
Eukaryota,Bacillariophyta,Bacillariophyceae,Naviculales,Sellaphoraceae,Sellaphora,Phorodon cannabis,0,0,0,0.372617907,0,0,0.000669765,0,0
Eukaryota,Porifera,Demospongiae,Spongillida,Spongillidae,Ephydatia,Pseudocandona albicans,0,0,0,0,0,0,0.365022169,0,0
Eukaryota,Porifera,Demospongiae,Spongillida,Spongillidae,Ephydatia,Satchelliella trivialis,0,0,0,0.277562318,0,0.082508251,0,0.003432651,0
Eukaryota,Porifera,Demospongiae,Spongillida,Spongillidae,Radiospongilla,Phytophthora lacustris,0.013825904,0.044115052,0.182166826,0.007604447,0.015925342,0,0.0368371,0,0.06230155
Eukaryota,Bacillariophyta,Coscinodiscophyceae,Stephanodiscales,Stephanodiscaceae,Cyclotella,Pythium inflatum,0,0.00882301,0.009587728,0.158172499,0.012740274,0,0.010716247,0.034326514,0.127335625
Eukaryota,Bacillariophyta,Coscinodiscophyceae,Stephanodiscales,Stephanodiscaceae,Stephanodiscus,Achlya colorata,0,0,0,0.180985841,0.085996847,0,0.040185927,0.003432651,0.037162328
Eukaryota,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,Phytophthora arenaria,0,0.332333392,0.009587728,0,0,0,0,0.003432651,0.000546505
Eukaryota,Oomycota,Saprolegniales,Saprolegniales,Saprolegniaceae,Achlya,Globisporangium viniferum,0.002765181,0.161755191,0.009587728,0.024334231,0.009555205,0,0.027460383,0.102979541,0.002186019
Eukaryota,Oomycota,Saprolegniales,Saprolegniales,Saprolegniaceae,Aphanomyces,Hydra oligactis,0,0,0.172579099,0.006844002,0,0,0.136632151,0,0.024046212
Eukaryota,Oomycota,Saprolegniales,Saprolegniales,Saprolegniaceae,Aphanomyces,Chydorus sphaericus,0.128580909,0,0,0,0.18951157,0,0,0,0.021313688
Eukaryota,Oomycota,Saprolegniales,Saprolegniales,Saprolegniaceae,Aphanomyces,Physella virgata,0,0.005882007,0.009587728,0.091253365,0.001592534,0,0,0.003432651,0.22188096
Eukaryota,Oomycota,Saprolegniales,Saprolegniales,Saprolegniaceae,Aphanomyces,Cochliopodium pentatrifurcatum,0,0,0,0,0.001592534,0.165016502,0.109841533,0,0.049185435
Eukaryota,Rotifera,Eurotatoria,Ploima,Asplanchnidae,Asplanchna,Chironomus riparius,0,0,0,0.141442716,0.183141433,0,0,0,0
